LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01013878,"1,963",1,842,1,"8,827",3
E01013879,813,1,"1,707",1,"1,632",1
E01013880,872,1,"1,053",1,"2,668",1
E01013881,"1,113",1,"1,124",1,"4,818",2
E01013882,"2,175",1,776,1,"8,829",3
E01013883,"2,876",1,"2,066",1,"7,703",3
E01013884,"2,184",1,"1,252",1,"5,266",2
E01013885,"1,188",1,"1,108",1,"5,411",2
E01013886,"4,236",2,433,1,"11,805",4
E01013887,"18,714",6,"19,812",7,"23,930",8
E01013888,"7,173",3,"7,622",3,"10,007",4
E01013889,"13,592",5,"9,460",3,"18,791",6
E01013890,"10,108",4,"4,331",2,"19,427",6
E01013891,"3,169",1,"1,583",1,"8,581",3
E01013892,"19,225",6,"20,665",7,"23,745",8
E01013893,"4,353",2,"2,881",1,"5,684",2
E01013894,"15,941",5,"15,540",5,"23,485",8
E01013895,"18,523",6,"19,410",6,"26,718",9
E01013896,"2,889",1,612,1,"8,652",3
E01013897,"4,404",2,"4,301",2,"13,531",5
E01013898,"13,243",5,"9,223",3,"6,121",2
